#separator:tab
#html:true
#tags column:3
<div class="anki-card"><div class="anki-category">CSV & Other Formats</div><div class="anki-q-title">Which programs can be used to open and edit CSV files?</div><div class="anki-desc"><ul style='margin-top:5px;padding-left:20px;text-align:left;'><li>Notepad</li><li>Microsoft Excel</li><li>Adobe Photoshop</li><li>Libre Office Calc</li></ul></div></div>	<div class="anki-card-back"><div class="anki-ans"><strong>Correct Answer(s):</strong> Notepad, Microsoft Excel, Libre Office Calc</div></div>	Markup_Exam csv__other_formats
<div class="anki-card"><div class="anki-category">JSON & Schema</div><div class="anki-q-title">Which keywords are used to limit the length of a string in JSON schema?</div><div class="anki-desc"><ul style='margin-top:5px;padding-left:20px;text-align:left;'><li>max Size</li><li>max Value</li><li>min Length</li><li>max Length</li><li>minLength</li><li>maxLength</li></ul></div></div>	<div class="anki-card-back"><div class="anki-ans"><strong>Correct Answer(s):</strong> minLength, maxLength</div></div>	Markup_Exam json__schema
<div class="anki-card"><div class="anki-category">XML Basics</div><div class="anki-q-title">In SVG, image data is represented in what format?</div><div class="anki-desc"><ul style='margin-top:5px;padding-left:20px;text-align:left;'><li>Binary</li><li>Numerically</li><li>Textually</li><li>Bicubic</li><li>Bitmap</li></ul></div></div>	<div class="anki-card-back"><div class="anki-ans"><strong>Correct Answer(s):</strong> Textually</div></div>	Markup_Exam xml_basics
<div class="anki-card"><div class="anki-category">CSV & Other Formats</div><div class="anki-q-title">Which of the following formats are text-based?</div><div class="anki-desc"><ul style='margin-top:5px;padding-left:20px;text-align:left;'><li>JSON</li><li>CSV</li><li>XML</li><li>PNG</li></ul></div></div>	<div class="anki-card-back"><div class="anki-ans"><strong>Correct Answer(s):</strong> JSON, CSV, XML</div></div>	Markup_Exam csv__other_formats
<div class="anki-card"><div class="anki-category">JSON & Schema</div><div class="anki-q-title">What is the purpose of JSON schema?</div><div class="anki-desc"><ul style='margin-top:5px;padding-left:20px;text-align:left;'><li>API serialization</li><li>Describing the structure of JSON data</li><li>Serializing JSON data to XML</li><li>Validating JSON data</li><li>Describing the structure of JSON dat</li></ul></div></div>	<div class="anki-card-back"><div class="anki-ans"><strong>Correct Answer(s):</strong> Describing the structure of JSON data, Validating JSON data, Describing the structure of JSON dat</div></div>	Markup_Exam json__schema
<div class="anki-card"><div class="anki-category">XML Basics</div><div class="anki-q-title">What is the main difference between a well-formed and a valid XML document?</div><div class="anki-desc"><ul style='margin-top:5px;padding-left:20px;text-align:left;'><li>A well-formed document adheres to the basic syntax rules, while a valid document meets the requirements of an XML schema or DTD.</li><li>A well-formed document has correctly nested tags, while a valid document has properly closed tags.</li><li>A well-formed document meets the requirements of an XML schema or DTD, while a valid document adheres to the basic syntax rules.</li><li>A well-formed document contains only ASCII characters, while a valid document contains only Unicode characters.</li><li>A well-formed document adheres to the basic syntax rules, while a valid document meets the requirements</li></ul></div></div>	<div class="anki-card-back"><div class="anki-ans"><strong>Correct Answer(s):</strong> A well-formed document adheres to the basic syntax rules, while a valid document meets the requirements of an XML schema or DTD., A well-formed document adheres to the basic syntax rules, while a valid document meets the requirements</div></div>	Markup_Exam xml_basics
<div class="anki-card"><div class="anki-category">HTTP & REST APIs</div><div class="anki-q-title">Which of the following HTTP methods allow manipulation of data on the server?</div><div class="anki-desc"><ul style='margin-top:5px;padding-left:20px;text-align:left;'><li>POST</li><li>DELETE</li><li>GET</li><li>PUT</li></ul></div></div>	<div class="anki-card-back"><div class="anki-ans"><strong>Correct Answer(s):</strong> POST, DELETE, PUT</div></div>	Markup_Exam http__rest_apis
<div class="anki-card"><div class="anki-category">HTML & Semantics</div><div class="anki-q-title">Which of the following tags are found in the <head> section of an HTML document?</div><div class="anki-desc"><ul style='margin-top:5px;padding-left:20px;text-align:left;'><li><ul></li><li><p></li><li><title></li><li><img></li><li><meta></li><li><link></li></ul></div></div>	<div class="anki-card-back"><div class="anki-ans"><strong>Correct Answer(s):</strong> <title>, <meta>, <link></div></div>	Markup_Exam html__semantics
<div class="anki-card"><div class="anki-category">XML Basics</div><div class="anki-q-title">Which of the following are allowed for XML elements?</div><div class="anki-desc"><ul style='margin-top:5px;padding-left:20px;text-align:left;'><li>Elements can have attributes</li><li>Elements can contain other elements.</li><li>Elements can have textual content.</li><li>Elements can have multiple root/parent elements.</li><li>Elements can have attributes (if only one then this one)</li></ul></div></div>	<div class="anki-card-back"><div class="anki-ans"><strong>Correct Answer(s):</strong> Elements can have attributes, Elements can contain other elements., Elements can have textual content., Elements can have attributes (if only one then this one)</div></div>	Markup_Exam xml_basics
<div class="anki-card"><div class="anki-category">HTML & Semantics</div><div class="anki-q-title">Which of the following elements is used to create a table in HTML5?</div><div class="anki-desc"><ul style='margin-top:5px;padding-left:20px;text-align:left;'><li><grid></li><li><table></li><li><array></li><li><data table></li></ul></div></div>	<div class="anki-card-back"><div class="anki-ans"><strong>Correct Answer(s):</strong> <table></div></div>	Markup_Exam html__semantics
<div class="anki-card"><div class="anki-category">JSON & Schema</div><div class="anki-q-title">Which of the following are true about XML and JSON?</div><div class="anki-desc"><ul style='margin-top:5px;padding-left:20px;text-align:left;'><li>XML and JSON can be used for application configuration.</li><li>XML and JSON can be used for serializing objects.</li><li>XML and JSON are formats for storing and transmitting data.</li><li>XML and JSON are styling languages.</li><li>XML and JSON can be used for application configuration</li><li>XML and JSON can be used for serializing objects</li><li>XML and JSON are formats for storing and transmitting data</li></ul></div></div>	<div class="anki-card-back"><div class="anki-ans"><strong>Correct Answer(s):</strong> XML and JSON can be used for application configuration., XML and JSON can be used for serializing objects., XML and JSON are formats for storing and transmitting data., XML and JSON can be used for application configuration, XML and JSON can be used for serializing objects, XML and JSON are formats for storing and transmitting data</div></div>	Markup_Exam json__schema
